month,district,pred_civil_works_count,pred_district_civil_works_count,pred_district_community_dev_count,pred_district_electricity_count,pred_district_environment_count,pred_district_inspection_count,pred_district_sanitation_count,pred_education_count,pred_electricity_count,pred_environment_count,pred_metro_police_count,pred_others_count,pred_police_count,pred_private_sector_count,pred_public_health_count,pred_transportation_count,pred_waterworks_count
2,พระนคร,222.0,1.0,10.0,0.0,0.0,1084.0,0.0,1.0,1.0,0.0,1.0,154.0,5.0,0.0,0.0,55.0,0.0
2,พระโขนง,624.0,624.0,0.0,493.0,159.0,0.0,79.0,0.0,507.0,111.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,ภาษีเจริญ,533.0,25.0,0.0,49.0,17.0,701.0,4.0,1.0,23.0,1.0,0.0,1.0,2.0,0.0,0.0,86.0,0.0
2,มีนบุรี,675.0,675.0,4.0,403.0,238.0,44.0,0.0,4.0,647.0,353.0,0.0,4.0,0.0,0.0,8.0,309.0,0.0
2,ยานนาวา,693.0,56.0,0.0,31.0,280.0,484.0,2.0,0.0,48.0,157.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
2,ราชเทวี,956.0,0.0,0.0,0.0,0.0,828.0,0.0,1.0,0.0,0.0,324.0,12.0,335.0,0.0,0.0,242.0,0.0
2,ราษฎร์บูรณะ,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,361.0,0.0,4.0,0.0,52.0,0.0
2,ลาดกระบัง,584.0,43.0,1.0,0.0,552.0,1.0,10.0,4.0,0.0,515.0,0.0,810.0,0.0,0.0,43.0,121.0,2.0
2,ลาดพร้าว,636.0,721.0,0.0,0.0,611.0,34.0,256.0,0.0,98.0,380.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0
2,วังทองหลาง,764.0,696.0,2.0,3.0,140.0,84.0,0.0,1.0,201.0,70.0,2.0,0.0,2.0,0.0,0.0,1.0,57.0
2,วัฒนา,1383.0,1167.0,0.0,0.0,54.0,922.0,0.0,1.0,0.0,19.0,306.0,0.0,298.0,0.0,0.0,0.0,0.0
2,สวนหลวง,922.0,555.0,0.0,196.0,262.0,0.0,1.0,1.0,536.0,206.0,36.0,0.0,46.0,0.0,0.0,294.0,0.0
2,สะพานสูง,597.0,597.0,9.0,491.0,115.0,0.0,32.0,0.0,552.0,301.0,30.0,0.0,14.0,0.0,0.0,15.0,0.0
2,สัมพันธวงศ์,7.0,0.0,1.0,0.0,136.0,255.0,0.0,0.0,0.0,108.0,67.0,13.0,36.0,0.0,0.0,3.0,0.0
2,สาทร,408.0,8.0,0.0,0.0,0.0,788.0,5.0,1.0,0.0,0.0,85.0,0.0,82.0,0.0,0.0,3.0,0.0
2,สายไหม,337.0,573.0,0.0,155.0,395.0,40.0,390.0,6.0,305.0,390.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0
2,หนองจอก,29.0,0.0,0.0,685.0,0.0,0.0,0.0,0.0,691.0,9.0,0.0,707.0,0.0,0.0,28.0,23.0,0.0
2,หนองแขม,684.0,409.0,6.0,44.0,243.0,615.0,4.0,1.0,49.0,545.0,10.0,0.0,26.0,0.0,9.0,0.0,0.0
2,หลักสี่,522.0,617.0,2.0,1.0,212.0,341.0,1.0,0.0,27.0,226.0,38.0,0.0,97.0,0.0,0.0,174.0,0.0
2,ห้วยขวาง,871.0,337.0,0.0,7.0,0.0,48.0,0.0,1.0,34.0,6.0,399.0,0.0,332.0,0.0,0.0,41.0,0.0
3,คลองสาน,373.0,368.0,0.0,0.0,1.0,2.0,0.0,17.0,0.0,18.0,248.0,0.0,254.0,0.0,33.0,0.0,0.0
3,คลองสามวา,765.0,750.0,0.0,9.0,117.0,226.0,2.0,2.0,3.0,472.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0
3,คลองเตย,849.0,77.0,0.0,0.0,0.0,1185.0,0.0,0.0,0.0,149.0,545.0,0.0,544.0,0.0,0.0,215.0,0.0
3,คันนายาว,281.0,315.0,0.0,17.0,166.0,205.0,0.0,0.0,54.0,255.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
3,จตุจักร,2137.0,443.0,0.0,627.0,12.0,1557.0,0.0,1.0,750.0,105.0,117.0,11.0,118.0,0.0,0.0,1492.0,0.0
3,จอมทอง,157.0,0.0,1.0,518.0,462.0,127.0,0.0,0.0,449.0,336.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0
3,ดอนเมือง,349.0,494.0,0.0,0.0,88.0,406.0,6.0,3.0,0.0,160.0,1.0,0.0,0.0,0.0,0.0,283.0,0.0
3,ดินแดง,1072.0,938.0,0.0,0.0,1.0,940.0,0.0,0.0,9.0,17.0,0.0,17.0,0.0,0.0,0.0,26.0,0.0
3,ดุสิต,495.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,339.0,10.0
3,ตลิ่งชัน,607.0,197.0,0.0,0.0,0.0,272.0,39.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0
3,ทวีวัฒนา,353.0,107.0,0.0,24.0,3.0,38.0,4.0,0.0,28.0,123.0,2.0,0.0,0.0,0.0,0.0,106.0,6.0
3,ทุ่งครุ,449.0,442.0,1.0,307.0,449.0,0.0,21.0,1.0,224.0,409.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0
3,ธนบุรี,905.0,36.0,0.0,0.0,172.0,347.0,0.0,0.0,8.0,122.0,84.0,0.0,109.0,0.0,0.0,0.0,0.0
3,บางกอกน้อย,48.0,0.0,0.0,2.0,0.0,977.0,0.0,0.0,0.0,1.0,0.0,1121.0,0.0,192.0,0.0,0.0,0.0
3,บางกอกใหญ่,285.0,284.0,0.0,10.0,13.0,136.0,0.0,0.0,8.0,20.0,2.0,6.0,6.0,0.0,0.0,26.0,0.0
3,บางกะปิ,1298.0,505.0,0.0,226.0,4.0,0.0,0.0,1.0,1141.0,10.0,0.0,0.0,3.0,0.0,0.0,557.0,29.0
3,บางขุนเทียน,564.0,626.0,0.0,72.0,668.0,15.0,68.0,0.0,58.0,610.0,1.0,1.0,22.0,0.0,17.0,365.0,0.0
3,บางคอแหลม,617.0,610.0,0.0,0.0,353.0,0.0,468.0,0.0,0.0,252.0,43.0,0.0,19.0,0.0,9.0,0.0,0.0
3,บางซื่อ,1083.0,584.0,0.0,106.0,0.0,12.0,1.0,1.0,145.0,0.0,0.0,0.0,3.0,58.0,0.0,326.0,0.0
3,บางนา,735.0,691.0,4.0,305.0,247.0,4.0,0.0,2.0,381.0,112.0,0.0,50.0,0.0,0.0,1.0,219.0,0.0
3,บางบอน,330.0,168.0,0.0,207.0,356.0,105.0,10.0,0.0,144.0,201.0,0.0,4.0,5.0,0.0,11.0,26.0,0.0
3,บางพลัด,2.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0,530.0,8.0,180.0,893.0,196.0,2.0,0.0,2.0,0.0
